Descripcion_1,Descripcion_2,precio,mt2,latitud,longitud,Nombre_sector
Casa,Casa,192000,260,-0.1710555758197129,-78.47845108263056,Iñaquito
Casa,Casa,145000,294,-0.09923131299867285,-78.48374062891715,Ponceano
Departamento,Departamento,119000,120,-0.1759573449767289,-78.48553953239497,Iñaquito
Departamento,Departamento,240000,240,-0.1710555758197129,-78.47845108263056,Iñaquito
Casa,Casa,90000,96,-0.08761245909093539,-78.46893007528706,Carcelen
Casa,Casa,239000,344,-0.1582072882048511,-78.47873516425278,El Inca
Departamento,Departamento,103000,190,-0.08761245909093539,-78.46893007528706,Carcelen
Departamento,Departamento,75000,105,-0.1710555758197129,-78.47845108263056,Iñaquito
Departamento,Departamento,125000,80,-0.1710555758197129,-78.47845108263056,Iñaquito
Departamento,Departamento,29000,47,-0.08798084918261996,-78.46895964823973,Carcelen
Departamento,Departamento,170000,130,-0.1974876575904577,-78.4801799273143,La Paz
Departamento,Departamento,108000,98,-0.1074194461873055,-78.48396529848748,Ponceano
Lote,Lote,25000,200,-0.2506026696226249,-78.55507570697702,La Mena
Oficina/Consultorio,Oficina/Consultorio,57900,50,-0.1749079959677702,-78.48059979879775,Iñaquito
Departamento,Departamento,134000,178,-0.1074194461873055,-78.48396529848748,Ponceano
Departamento,Departamento,170000,210,-0.1932979323062996,-78.48286561816307,Iñaquito
Departamento,Departamento,56700,115,-0.1207016860884485,-78.50914734689046,Santa Anita
Casa,Casa,155000,688,-0.2579905184527751,-78.54109373379877,El Pintado
Departamento,Departamento,138316,52,-0.1974876575904577,-78.4801799273143,La Paz
Bodega,Bodega,1600000,3066,-0.2398245082120592,-78.52279758810522,Magdalena
Local,Local,556882,237,-0.1802380322462644,-78.47913128162851,Iñaquito
Lote,Lote,120000,1600,-0.1582072882048511,-78.47873516425278,El Inca
Casa,Casa,450000,290,-0.2120845213061325,-78.50368971921935,San Juan
Departamento,Departamento,690000,678,-0.197215429768338,-78.47913024104197,La Paz
Departamento,Departamento,178200,116,-0.2067027228841951,-78.4811699436969,La Paz
Departamento,Departamento,138622,80,-0.1816144611382076,-78.48024669757494,Iñaquito
Departamento,Departamento,115000,100,-0.08761245909093539,-78.46893007528706,Carcelen
Departamento,Departamento,69000,131,-0.1193671586746506,-78.50654522705975,Cotocollao
Casa,Casa,170000,300,-0.2585088132956641,-78.54971951080745,La Mena
Departamento,Departamento,149000,130,-0.2060094228478546,-78.48896469694502,Mariscal Sucre
Casa,Casa,92000,174,-0.09404321204265755,-78.47308052506695,Ponceano
Lote,Lote,980000,800,-0.1734201640143113,-78.48158720969995,Iñaquito
Departamento,Departamento,95000,110,-0.1713402903784383,-78.4738004776767,Iñaquito
Departamento,Departamento,268000,175,-0.185982069836608,-78.48285843567123,Iñaquito
Departamento,Departamento,63500,46,-0.1246627788649813,-78.49916164427873,Cotocollao
Casa,Casa,138000,250,-0.09245792114023164,-78.47840772456001,Carcelen
Lote,Lote,129000,2232,-0.2781950565874727,-78.5411381917503,Turubamba
Departamento,Departamento,89000,52,-0.1936011888962644,-78.48171268399327,La Paz
Departamento,Departamento,128000,144,-0.122028000622056,-78.4900469702014,Ponceano
Departamento,Departamento,169000,220,-0.1979313025580467,-78.4812207579773,La Paz
Departamento,Departamento,150000,70,-0.13613112485977,-78.46692499177315,San Isidro del Inca
Casa,Casa,310000,300,-0.145927895431983,-78.48157827821362,Kennedy
Casa,Casa,152000,180,-0.2781950565874727,-78.5411381917503,Turubamba
Departamento,Departamento,128000,104,-0.09898619056706727,-78.47604294747681,Ponceano
Casa,Casa,250000,432,-0.2067665367842683,-78.52169312677854,San Juan
Departamento,Departamento,68000,80,-0.1457135952978345,-78.46726539042986,San Isidro del Inca
Lote,Lote,470000,1100,-0.1710555758197129,-78.47845108263056,Iñaquito
Casa,Casa,205000,296,-0.07401569906043944,-78.45672551480094,Carcelen
Departamento,Departamento,178200,59,-0.1819492912252414,-78.47903008453808,Iñaquito
Departamento,Departamento,169000,114,-0.2003349921498675,-78.48085707978804,La Paz
Casa,Casa,179000,240,-0.08761245909093539,-78.46893007528706,Carcelen
Departamento,Departamento,170000,170,-0.1749079959677702,-78.48059979879775,Iñaquito
Casa,Casa,149900,228,-0.1710555758197129,-78.47845108263056,Iñaquito
Casa,Casa,110000,195,-0.1710555758197129,-78.47845108263056,Iñaquito
Casa,Casa,130000,132,-0.2791603213915345,-78.54080895979057,Turubamba
Departamento,Departamento,119383,112,-0.121306587702066,-78.48934898243658,Ponceano
Departamento,Departamento,79500,54,-0.2034812353209879,-78.48834439189945,Mariscal Sucre
Departamento,Departamento,149000,125,-0.122028000622056,-78.4900469702014,Ponceano
Casa,Casa,205000,1918,-0.1582072882048511,-78.47873516425278,El Inca
Casa,Casa,90000,160,-0.1178762865850181,-78.49150622606278,Ponceano
Departamento,Departamento,114000,120,-0.1086277905909546,-78.48030158789932,Ponceano
Oficina/Consultorio,Oficina/Consultorio,120000,115,-0.1710555758197129,-78.47845108263056,Iñaquito
Lote,Lote,138000,1443,-0.2781950565874727,-78.5411381917503,Turubamba
Departamento,Departamento,78000,56,-0.1989234973371315,-78.49395656701944,Mariscal Sucre
Departamento,Departamento,98500,172,-0.121306587702066,-78.48934898243658,Ponceano
Departamento,Departamento,417500,322,-0.1974876575904577,-78.4801799273143,La Paz
Departamento,Departamento,185000,135,-0.121306587702066,-78.48934898243658,Ponceano
Departamento,Departamento,175000,66,-0.1817369996757024,-78.47550850199568,Iñaquito
Casa,Casa,100000,181,-0.2192231743272976,-78.51471728571468,Centro Historico
Casa,Casa,280000,439,-0.09245792114023164,-78.47840772456001,Carcelen
Departamento,Departamento,149000,60,-0.1758568584347938,-78.48613791699411,Iñaquito
Casa,Casa,295000,366,-0.08841725197874489,-78.46350420414448,Carcelen
Departamento,Departamento,175000,160,-0.1809670850265945,-78.4800803788445,Iñaquito
Casa,Casa,123000,185,-0.07434289125607985,-78.46237654978312,Carcelen
Departamento,Departamento,168000,121,-0.2754883013759804,-78.5460522783445,Santa Rita
Departamento,Departamento,110000,60,-0.183234163811853,-78.47703907423129,Iñaquito
Departamento,Departamento,93000,160,-0.09129867995038077,-78.4719839360793,Carcelen
Local,Local,2300000,3997,-0.1915649036815747,-78.48511595270743,Iñaquito
Departamento,Departamento,219903,114,-0.1869747009599026,-78.4865622335752,Iñaquito
Casa,Casa,99000,333,-0.1710555758197129,-78.47845108263056,Iñaquito
Departamento,Departamento,94000,65,-0.1816144611382076,-78.48024669757494,Iñaquito
Casa,Casa,1390000,1350,-0.2189602542684229,-78.51407685320873,Centro Historico
Departamento,Departamento,275000,183,-0.1964526952645926,-78.47994267574877,La Paz
Casa,Casa,650000,1800,-0.2189602542684229,-78.51407685320873,Centro Historico
Departamento,Departamento,169000,227,-0.1979313025580467,-78.4812207579773,La Paz
Departamento,Departamento,175000,96,-0.1819492912252414,-78.47903008453808,Iñaquito
Casa,Casa,168000,188,-0.1582072882048511,-78.47873516425278,El Inca
Casa,Casa,550000,600,-0.1225762087690422,-78.48519919470928,Ponceano
