Descripcion_1,Descripcion_2,precio,mt2,ubicacion
Casa,Casa en venta en Ciudad Celeste,$ 270.000,Nada,Nada
Oficina/Consultorio,Oficina/Consultorio en venta en Centro De Guayaquil,$ 25.000,90 m² Totales,"https://www.google.com/maps/@-2.189390838343625,-79.88912948645722,13z?hl=es-ES&gl=US"
Lote,Lote en venta en Norte De Guayaquil,$ 1.600.000,10000 m² Totales,"https://www.google.com/maps/@-2.104094278397983,-79.9350764162873,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 68.000,Nada,"https://www.google.com/maps/@-2.138654457621779,-79.8874208473383,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 380.000,520 m² Totales,"https://www.google.com/maps/@-2.166655596557214,-79.94505538163074,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Via A La Costa,$ 205.000,163 m² Totales,Nada
Casa,Casa en venta en Guayaquil,$ 129.000,220 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Lote,Lote en venta en Guayaquil,$ 568.000,2988 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Bodega,Bodega en venta en Norte De Guayaquil,$ 1.250.000,Nada,Nada
Lote,Lote en venta en Guayaquil,$ 220.000,9717 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Guayaquil,$ 96.000,225 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio en venta en Centro De Guayaquil,$ 35.000,32 m² Totales,"https://www.google.com/maps/@-2.194045499895327,-79.88187864790665,13z?hl=es-ES&gl=US"
Bodega,Bodega en venta en Norte De Guayaquil,$ 725.000,1600 m² Totales,"https://www.google.com/maps/@-2.105290831848794,-79.93482486761812,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Guayaquil,$ 125.000,115 m² Totales,"https://www.google.com/maps/@-2.166655596557214,-79.94505538163074,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Ciudad Celeste,$ 240.000,182 m² Totales,Nada
Lote,Lote en venta en Norte De Guayaquil,$ 140.000,423 m² Totales,Nada
Casa,Casa en venta en Norte De Guayaquil,$ 59.000,115 m² Totales,"https://www.google.com/maps/@-2.087530273557651,-79.91451825466935,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Guayaquil,$ 125.000,78 m² Totales,Nada
Casa,Casa en venta en Norte De Guayaquil,$ 188.000,180 m² Totales,"https://www.google.com/maps/@-2.006729794071231,-79.96365543736249,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Norte De Guayaquil,$ 200.000,555 m² Totales,"https://www.google.com/maps/@-2.162677228330639,-79.94190970771638,13z?hl=es-ES&gl=US"
Lote,Lote en venta en Norte De Guayaquil,$ 25.000,576 m² Totales,Nada
Departamento,Departamento en venta en Puerto Santa Ana,$ 250.000,84 m² Totales,"https://www.google.com/maps/@-2.18002832824447,-79.87503862950302,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Bellavista,$ 220.000,360 m² Totales,"https://www.google.com/maps/@-2.180916830446156,-79.91410744878219,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 260.000,260 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Via A La Costa,$ 230.000,272 m² Totales,Nada
Casa,Casa en venta en Ciudad Celeste,$ 270.000,230 m² Totales,Nada
Casa,Casa en venta en Norte De Guayaquil,$ 160.000,160 m² Totales,Nada
Casa,Casa en venta en Guayaquil,$ 114.999,140 m² Totales,Nada
Casa,Casa en venta en Norte De Guayaquil,$ 140.000,78 m² Totales,"https://www.google.com/maps/@-2.123024316948754,-79.89385540931092,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Bellavista,$ 150.000,200 m² Totales,"https://www.google.com/maps/@-2.187353032240785,-79.90316871427274,13z?hl=es-ES&gl=US"
Lote,Lote en venta en Guayaquil,$ 1.000.000,635 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 155.000,160 m² Totales,Nada
Casa,Casa en venta en Urdesa central,$ 139.000,102 m² Totales,"https://www.google.com/maps/@-2.169196695973065,-79.90675719994542,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Norte De Guayaquil,$ 140.500,105 m² Totales,"https://www.google.com/maps/@-2.131495123189802,-79.912441487347,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 360.000,306 m² Totales,Nada
Casa,Casa en venta en Sur De Guayaquil,Nada,178 m² Totales,"https://www.google.com/maps/@-2.233512217704609,-79.89463987766243,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Centro De Guayaquil,$ 190.000,460 m² Totales,"https://www.google.com/maps/@-2.221879256773271,-79.88984813015132,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Via A La Costa,$ 240.000,170 m² Totales,Nada
Casa,Casa en venta en Norte De Guayaquil,$ 119.000,153 m² Totales,Nada
Casa,Casa en venta en Norte De Guayaquil,$ 320.000,491 m² Totales,"https://www.google.com/maps/@-2.167526986717786,-79.91417235794849,13z?hl=es-ES&gl=US"
Local,Local en venta en Norte De Guayaquil,$ 460.000,180 m² Totales,"https://www.google.com/maps/@-2.166144085558213,-79.90630698167749,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Ciudad Celeste,$ 215.000,210 m² Totales,Nada
Casa,Casa en venta en Guayaquil,$ 132.000,152 m² Totales,Nada
Casa,Casa en venta en Bellavista,$ 130.000,300 m² Totales,"https://www.google.com/maps/@-2.179976944383295,-79.91068137231996,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Norte De Guayaquil,$ 70.000,70 m² Totales,Nada
Departamento,Departamento en venta en Norte De Guayaquil,$ 88.000,Nada,"https://www.google.com/maps/@-2.134804934060888,-79.88415956113398,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Sur De Guayaquil,$ 79.000,100 m² Totales,"https://www.google.com/maps/@-2.278195953185896,-79.88626536131729,13z?hl=es-ES&gl=US"
Lote,Lote en venta en Norte De Guayaquil,$ 140.000,798 m² Totales,Nada
Departamento,Departamento en venta en Sur De Guayaquil,$ 37.500,92 m² Totales,Nada
Lote,Lote en venta en Norte De Guayaquil,$ 330.000,Nada,Nada
Casa,Casa en venta en Norte De Guayaquil,$ 195.000,159 m² Totales,"https://www.google.com/maps/@-2.15077273121109,-79.89902569810529,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Via A La Costa,$ 175.000,142 m² Totales,"https://www.google.com/maps/@-2.184034784496052,-79.98181774410796,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Sur De Guayaquil,Nada,98 m² Totales,"https://www.google.com/maps/@-2.223547018457472,-79.90316751842806,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 57.000,Nada,"https://www.google.com/maps/@-2.077569716357044,-79.92161959709414,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Guayaquil,$ 400.000,132 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Guayaquil,$ 200.000,397 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Local,Local en venta en Guayaquil,$ 2.700.000,2500 m² Totales,"https://www.google.com/maps/@-2.189406038591932,-79.8890825847566,13z?hl=es-ES&gl=US"
Casa,Casa en venta en Norte De Guayaquil,$ 75.000,110 m² Totales,Nada
Casa,Casa en venta en Norte De Guayaquil,$ 600.000,764 m² Totales,"https://www.google.com/maps/@-2.170079943613789,-79.90999569683473,13z?hl=es-ES&gl=US"
Departamento,Departamento en venta en Norte De Guayaquil,$ 120.000,113 m² Totales,Nada
Casa,Casa en venta en Samanes,$ 79.000,152 m² Totales,Nada
